date,site_name,mineral_type,production_tons,energy_output_mwh,fuel_consumption_liters,equipment_downtime_hours,ore_grade_percent
2021-01-01,Alpha Mine,Copper,121200,45240,20637,7.9,2.33
2021-02-01,Bravo Pit,Copper,123752,46312,24712,17.6,2.39
2021-03-01,Bravo Pit,Coal,126403,47375,49070,10.5,2.06
2021-04-01,Omega Site,Copper,133902,49353,38630,2.4,3.61
2021-05-01,Omega Site,Copper,135611,50099,42573,5.5,2.46
2021-06-01,Delta Energy,Coal,136232,50542,23679,14.3,2.4
2021-07-01,Delta Energy,Coal,138540,51235,33750,12.9,3.52
2021-08-01,Delta Energy,Copper,134597,50598,26079,10.5,1.43
2021-09-01,Alpha Mine,Coal,134717,50709,49180,6.5,3.76
2021-10-01,Omega Site,Copper,133530,50519,48992,9.0,3.3
2021-11-01,Omega Site,Nickel,130259,49899,43634,15.4,3.26
2021-12-01,Delta Energy,Nickel,133417,50582,27438,11.4,3.78
2022-01-01,Delta Energy,Nickel,128106,49615,40431,17.7,3.62
2022-02-01,Delta Energy,Copper,131076,50372,21344,10.8,3.68
2022-03-01,Alpha Mine,Coal,133442,51089,38282,10.8,3.14
2022-04-01,Bravo Pit,Copper,137300,52192,20888,17.2,1.49
2022-05-01,Delta Energy,Nickel,137112,52571,45536,4.3,3.29
2022-06-01,Delta Energy,Copper,140015,53640,29666,15.9,3.47
2022-07-01,Alpha Mine,Nickel,141961,54568,22772,16.1,3.38
2022-08-01,Bravo Pit,Copper,146552,56050,26260,12.9,3.3
2022-09-01,Alpha Mine,Nickel,150990,57497,45910,10.9,3.05
2022-10-01,Alpha Mine,Coal,157722,59370,23952,3.5,1.63
2022-11-01,Alpha Mine,Coal,157349,59763,35640,9.8,2.63
2022-12-01,Bravo Pit,Nickel,162335,61153,40035,10.1,1.61
2023-01-01,Alpha Mine,Coal,167612,62514,42982,8.1,1.83
2023-02-01,Omega Site,Coal,168286,62867,40329,6.5,2.52
2023-03-01,Alpha Mine,Coal,168468,63043,38696,17.7,3.73
2023-04-01,Bravo Pit,Copper,165404,62510,35787,14.8,2.28
2023-05-01,Bravo Pit,Nickel,162431,61959,41407,10.0,2.72
2023-06-01,Bravo Pit,Copper,158864,61281,44281,3.6,3.7
2023-07-01,Alpha Mine,Copper,164038,62372,40015,15.4,3.24
2023-08-01,Alpha Mine,Nickel,156785,61026,49102,2.3,2.33
2023-09-01,Alpha Mine,Copper,158919,61626,45959,7.1,2.68
2023-10-01,Omega Site,Coal,163883,62876,32093,12.2,2.62
2023-11-01,Omega Site,Copper,165342,63513,25351,9.7,3.31
2023-12-01,Omega Site,Nickel,164544,63782,41612,7.9,1.31
2024-01-01,Alpha Mine,Nickel,171884,65747,41917,13.7,2.3
2024-02-01,Bravo Pit,Copper,176605,67236,34817,12.2,1.44
2024-03-01,Alpha Mine,Copper,179758,68431,20841,12.5,1.98
2024-04-01,Delta Energy,Nickel,185289,70094,20124,15.1,1.97
2024-05-01,Delta Energy,Copper,183084,70172,25437,10.2,3.0
2024-06-01,Omega Site,Copper,189583,71929,37669,15.4,2.32
2024-07-01,Delta Energy,Nickel,191235,72639,23171,5.6,3.12
2024-08-01,Omega Site,Coal,194152,73515,25099,18.0,1.7
2024-09-01,Alpha Mine,Coal,192412,73372,36803,2.1,1.67
2024-10-01,Bravo Pit,Coal,190853,73190,20358,4.3,2.53
2024-11-01,Omega Site,Copper,187957,72684,23290,16.5,1.33
2024-12-01,Bravo Pit,Coal,192300,73593,31311,12.8,1.83
2025-01-01,Bravo Pit,Coal,192009,73571,43998,15.3,3.59
2025-02-01,Alpha Mine,Coal,185329,72297,37651,2.5,2.63
2025-03-01,Alpha Mine,Coal,191472,73639,31015,16.2,3.53
2025-04-01,Bravo Pit,Copper,187357,73002,37972,10.1,3.16
2025-05-01,Delta Energy,Coal,187439,73289,27765,7.4,3.46
2025-06-01,Alpha Mine,Copper,189005,73960,30442,8.7,2.24
2025-07-01,Delta Energy,Copper,197949,76189,25222,13.4,1.82
2025-08-01,Bravo Pit,Copper,196539,76412,44871,15.2,1.78
2025-09-01,Omega Site,Copper,205217,78697,22379,2.7,2.63
2025-10-01,Bravo Pit,Coal,209246,80069,34683,12.2,3.3
2025-11-01,Bravo Pit,Nickel,207996,80371,48527,16.0,1.63
2025-12-01,Alpha Mine,Coal,214083,82100,49983,14.4,2.86
